Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Adam Doyle,ADE,22,8.2,2.9,1,2.5,0.383,0.4,1.1,0.36,0.6,0.7,0.875,0.2,0.3,0.5,1.1,0.3,0,0.3,0.3,2019,PG
Marshall Nelson,ILL,15,6.5,2.1,0.7,2.2,0.314,0.3,1,0.313,0.4,0.4,1,0.2,0.9,1.1,0.6,0.2,0,0.3,1.1,2019,PG
Peter Hooley,MEL,34,9,2,0.9,2.2,0.387,0.1,0.8,0.192,0.1,0.4,0.357,0.3,0.5,0.7,1.3,0.3,0,0.7,0.6,2019,PG
Bijan Johnson,ADE,5,1.5,0.7,0.2,0.4,0.5,0,0,0,0.4,0.7,0.5,0,0.2,0.2,0,0,0,0.2,0.6,2019,PG
Makoto Hiejima,BRI,3,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,PG
Lochlan Cummings,PER,3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,2019,PG
Max de Geest,NZB,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,PG
Nelson Larkins,ADE,2,0.7,0,0,0.9,0,0,0.9,0,0,0,0,0,0,0,0,0.4,0,0,0,2019,PG
Bryce Cotton,PER,30,32.7,20.4,6.8,15.4,0.441,3.1,7,0.448,3.6,4.2,0.869,1,2.1,3.1,3.2,1.3,0,1.9,1.8,2018,PG
Dzherom Rendl,SYD,19,34.7,20.2,7.9,16.5,0.479,1.6,4.2,0.385,2.8,3.5,0.8,1.3,2,3.3,5.3,1.1,0,3.4,2.5,2018,PG
Rotnei Clarke,ILL,25,29.8,17.5,5.7,13.6,0.422,2.3,6.6,0.349,3.7,4,0.923,0.7,2,2.7,2.7,0.6,0.1,1.8,1.5,2018,PG
Casper Ware,MEL,35,32.6,16.7,5.3,14,0.381,2.3,6.9,0.335,3.7,4.4,0.857,0.6,2.4,2.9,4.4,0.9,0.1,2.3,2.1,2018,PG
Edgar Sosa,NZB,28,27.7,16,5.2,12.5,0.414,2.7,7,0.385,3,3.6,0.837,0.5,1.8,2.2,3.8,0.9,0.1,2.2,2.4,2018,PG
Travis Trice,BRI,27,30.2,15.7,5.3,12.3,0.427,1.5,4,0.368,3.7,4.4,0.831,0.5,3.3,3.7,5.2,1.3,0.1,2.2,1.6,2018,PG
Nathan Sobey,ADE,35,26.9,11.8,4.2,10.2,0.413,1.2,3.7,0.331,2.2,2.7,0.794,0.5,3.2,3.7,2.7,0.7,0.3,2,1.9,2018,PG
Jason Cadee,SYD,28,28.3,11.2,3.6,8.2,0.439,2.1,4.8,0.433,1.9,2.6,0.746,0.4,2.3,2.8,3.3,0.9,0.2,1,2.1,2018,PG
Kevin Lisch,SYD,11,24.4,11.2,3.5,8.8,0.396,1.8,4.7,0.392,2.4,3,0.788,0.5,2.2,2.7,2.4,1.6,0.1,1.1,2.4,2018,PG
Scoochie Smith,CRN,28,21.5,10.6,3.7,9,0.406,1.2,3.5,0.337,2,2.6,0.771,0.7,2.5,3.2,2.5,0.9,0.1,1.8,2,2018,PG
Shea Ili,NZB,30,21.7,9.4,3.2,8.2,0.387,0.8,2.1,0.365,2.2,3.2,0.71,1.3,1.7,3,3.2,0.7,0.1,1.6,2.1,2018,PG
Jarrad Weeks,CRN,28,19.3,8.8,3,7.9,0.373,1.6,4.5,0.345,1.3,1.9,0.7,0.6,1.1,1.6,2.1,0.6,0.1,1.3,2,2018,PG
Jeremy Kendle,SYD,6,14.7,6.9,2.3,6,0.389,1.2,3.2,0.368,1,1.5,0.667,0.8,1.7,2.5,2.2,0.2,0.3,2,1.3,2018,PG
Jarrod Kenny,PER,30,16.1,5.3,2.1,4.9,0.433,0.7,2,0.362,0.4,0.7,0.632,0.5,1.1,1.5,1.6,0.3,0,1.1,1.2,2018,PG
Damon Heuir,CRN,28,10.9,4.7,1.3,4,0.33,0.4,1.7,0.25,1.7,2.3,0.721,0.5,0.9,1.4,0.6,0.2,0,0.7,1.1,2018,PG
Kyle Adnam,MEL,30,9.6,3.5,1.2,3.1,0.394,0.7,1.7,0.392,0.4,0.4,0.923,0.2,0.8,1,1,0.2,0,0.8,1.2,2018,PG
Anthony Fisher,CRN,3,2.1,2.1,0.3,0.7,0.5,0.3,0.3,1,1,1.4,0.75,0,0,0,0,0,0,0,0,2018,PG
Brendan Teys,ADE,31,9,1.7,0.7,1.9,0.359,0.2,0.6,0.3,0.2,0.3,0.455,0.2,0.5,0.7,0.5,0.2,0.1,0.4,1,2018,PG
Adam Doyle,ADE,12,5.8,1.2,0.4,1.5,0.263,0.2,0.7,0.222,0.2,0.3,0.75,0.2,0.5,0.6,0.5,0.2,0,0,0.2,2018,PG
Nelson Larkins,ADE,11,3.2,0.9,0.3,1.1,0.308,0.1,0.6,0.143,0.2,0.3,0.5,0.1,0.5,0.6,0.3,0.1,0.1,0.2,0.8,2018,PG
Mason Bragg,PER,5,1.3,0.8,0.2,0.6,0.333,0,0.2,0,0.4,0.4,1,0,0.2,0.2,0.2,0,0,0,0,2018,PG
Isaih Tueta,BRI,4,2.8,0.5,0.2,1.2,0.2,0,0.5,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.5,2018,PG
Durrell McDonald,MEL,1,5.3,0,0,2.1,0,0,2.1,0,0,0,0,0,0,0,1,0,0,0,0,2018,PG
Derone Raukawa,NZB,4,2.5,0,0,1.3,0,0,0.3,0,0,0,0,0.3,0.3,0.5,0,0,0,0,0.3,2018,PG
Sam Johns,ADE,2,4.6,0,0,0.9,0,0,0.9,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.9,2018,PG
Bryce Cotton,PER,16,33.2,23.7,8.1,17.1,0.474,2.9,8.2,0.352,4.6,5.2,0.889,0.7,2.6,3.3,3.2,1.3,0,1.9,1.8,2017,PG
Casper Ware,MEL,18,32.3,22.1,7.5,17.6,0.425,2.8,8.7,0.327,4.4,5.2,0.83,0.3,2.3,2.6,4.5,1.3,0.1,2.5,2.1,2017,PG
Dzherom Rendl,ADE,31,31.4,20.1,7.6,15,0.506,1.4,3.8,0.363,3.6,4,0.9,0.6,2.3,2.8,5.1,1,0,3.5,2.1,2017,PG
Kevin Dillard,NZB,9,29.9,17.6,6,14.1,0.427,2.3,5.9,0.382,3.2,3.8,0.857,0.4,3.4,3.9,4.6,1.5,0.2,3.9,2.9,2017,PG
Rotnei Clarke,ILL,34,27.8,16.8,5.9,12.7,0.467,2.6,6.6,0.394,2.4,2.6,0.892,0.7,1.9,2.6,2.7,1,0,1.4,1.3,2017,PG
