Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Nathan Sobey,ADE,31,27.3,14.6,4.8,10.8,0.441,1.2,3.1,0.402,3.8,4.8,0.801,0.9,3.9,4.8,3.9,1,0.3,1.6,1.8,2017,SG
Mitchell Creek,ADE,21,24.4,11.2,4.1,7.3,0.567,0.5,1.1,0.458,2.5,3.6,0.695,1.9,3.2,5,1.7,0.9,0.2,1.6,1.5,2017,SG
Cameron Gliddon,CRN,30,28.8,11,3.7,8.4,0.436,2.1,5.4,0.385,1.6,2,0.81,0.6,2.5,3.1,3.2,1.2,0.2,1.5,2.2,2017,SG
Marvelle Harris,ILL,32,22.4,10.4,3.6,9.4,0.382,0.5,2,0.231,2.8,3.6,0.773,0.7,1.9,2.6,1.7,1.1,0.1,1.9,2.7,2017,SG
Ramone Moore,MEL,20,21.6,10.2,4.1,9,0.458,0.6,1.7,0.353,1.3,2,0.667,1,2,2.9,2,0.7,0.2,1.4,2,2017,SG
Adam Gibson,BRI,21,29.2,10.1,3.4,7.5,0.458,1.6,3.9,0.413,1.6,1.7,0.943,0.5,2.1,2.7,3.9,1,0.2,1.6,2.9,2017,SG
Andre Ingram,PER,2,21,8.9,3.1,8.9,0.353,2.6,5.2,0.5,0,0,0,0.5,1.6,2.1,1.6,1,0,1.6,3.6,2017,SG
Mitchell McCarron,CRN,29,20.5,7.4,2.3,5.5,0.416,0.8,2.1,0.397,2,2.4,0.851,1.2,2.6,3.9,1.4,0.5,0.1,0.8,2.2,2017,SG
Steve Blake,SYD,9,21.3,6.1,2,6.4,0.309,1.5,5.2,0.289,0.7,0.7,1,0.3,2.1,2.4,2.3,0.3,0.1,1.3,1.6,2017,SG
Shaun Bruce,BRI,28,20,6,1.9,5.1,0.381,0.4,1.6,0.273,1.7,1.9,0.868,0.5,1.2,1.8,2.3,0.4,0.1,1.8,2.5,2017,SG
Damian Martin,PER,22,28.8,5,1.9,5,0.387,0.9,2.5,0.358,0.2,0.6,0.417,0.8,4.2,5,3.4,1.8,0.2,1.3,2.7,2017,SG
Rhys Martin,ILL,34,17.3,4.9,1.6,4.5,0.35,0.6,2.1,0.274,1.2,1.5,0.827,0.6,1.5,2,2.3,1.2,0.1,1.6,1.7,2017,SG
Kevin White,ILL,34,15.1,4.6,1.6,3.6,0.452,0.8,2.1,0.373,0.5,0.8,0.704,0.3,1.1,1.4,1.6,0.8,0,0.5,1.6,2017,SG
Garrett Jackson,SYD,6,12,3.9,1.4,3.2,0.421,0,0.2,0,1.2,1.9,0.636,1.7,1.9,3.6,0.7,0.3,0.2,1.2,1.7,2017,SG
Greg Hire,PER,32,13.4,3.4,1.1,2.5,0.442,0.5,1.4,0.372,0.7,1.2,0.639,1,1.9,2.9,1,0.3,0.1,0.6,1.9,2017,SG
Owen Odigie,MEL,20,11.6,2.3,0.8,2.2,0.341,0.4,1.5,0.267,0.4,0.9,0.389,0.3,1.7,1.9,0.3,0.7,0.2,0.6,0.8,2017,SG
William McDowell-White,SYD,7,10.4,2.2,0.7,1.8,0.417,0.6,1.3,0.444,0.1,0.3,0.5,0.3,0.3,0.6,1.2,0.6,0,0.9,1,2017,SG
Matthew Kenyon,BRI,17,10.6,2,0.6,2.1,0.286,0.2,1,0.188,0.6,0.9,0.667,0.2,0.5,0.8,0.4,0.2,0,0.6,1.3,2017,SG
Mason Bragg,PER,12,6.4,1.8,0.8,2,0.391,0.1,0.5,0.167,0.2,0.3,0.5,0.4,0.5,0.9,0.9,0.3,0,0.5,1.1,2017,SG
Michael Bryson,SYD,4,14,1.8,0.8,4.3,0.176,0.3,2,0.125,0,0,0,0.5,0.5,1,0.8,0.5,0.5,0.3,2.8,2017,SG
Dion Prewster,SYD,17,3.4,1,0.4,1,0.353,0.2,0.7,0.273,0.1,0.1,0.5,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.7,2017,SG
Jackson Hussey,PER,2,3.6,0,0,1,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,1.5,0.5,2017,SG
Ethan Rusbatch,NZB,3,1.2,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,2017,SG
Tony Tolovae,SYD,1,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,SG
Chris Goulding,MEL,28,33.4,19,6.4,15.5,0.414,3.2,9,0.359,3,3.7,0.814,0.4,3.4,3.8,2.9,0.6,0.1,2.4,2.2,2016,SG
Jermaine Beal,PER,33,32.2,15.9,4.9,13.4,0.363,2.3,6.5,0.357,3.9,4.6,0.833,0.6,1.9,2.5,3.7,0.6,0,2,1.9,2016,SG
Jordair Jett,TOW,28,27.5,15.7,6.3,14,0.449,0.7,2.6,0.278,2.4,3.7,0.647,0.7,2.8,3.5,3.4,1.1,0.3,2.7,2.3,2016,SG
Cameron Gliddon,CRN,28,33.6,14.2,4.7,10.3,0.46,2.4,6.1,0.389,2.4,2.7,0.875,0.8,3.6,4.5,2.4,0.9,0.2,1.2,2,2016,SG
Cedric Jackson,NZB,33,32.1,12.7,4.4,11.3,0.393,1.4,4.6,0.303,2.4,4.6,0.516,0.9,5,5.9,6.2,1.3,0.2,2.9,2.9,2016,SG
Marcus Thornton,SYD,28,29.2,12.3,4.2,11,0.377,1.3,4.8,0.281,2.6,3,0.864,0.4,2,2.4,1.9,0.6,0,1.7,1.6,2016,SG
Ebi Ere,ADE,28,22.4,10.4,3.7,9.3,0.398,1.7,4.7,0.348,1.4,2.1,0.683,0.7,1.5,2.2,1,0.6,0.1,1.3,1.9,2016,SG
Rhys Martin,ILL,18,27.9,9,3.3,8,0.418,0.9,3,0.291,1.4,1.7,0.839,0.5,2.7,3.3,4.1,0.7,0.2,1.7,2.6,2016,SG
Adam Gibson,ADE,27,27.8,8.8,3,6.8,0.44,1,2.6,0.375,1.8,2,0.893,0.8,2.6,3.4,4,0.7,0.1,1.5,2.3,2016,SG
Corey Maynard,TOW,25,18,6.2,2.3,5.1,0.448,0.7,2,0.36,0.9,1.1,0.852,0.6,2.3,2.9,1.7,0.4,0,1.3,2.2,2016,SG
Shaun Bruce,CRN,28,21.5,6.2,2.2,6.3,0.345,0.6,2.5,0.254,1.2,1.7,0.733,0.7,1.4,2.1,2,0.3,0,1.2,2.2,2016,SG
Rhys Carter,SYD,28,17.5,5.4,1.8,5,0.366,1.1,3.5,0.311,0.6,0.8,0.818,0.3,1.9,2.2,1.4,0.8,0.1,1.1,1.5,2016,SG
Garrett Jackson,MEL,6,10.4,5.4,2.2,4.5,0.5,0.2,0.7,0.25,0.7,0.9,0.8,0.9,1.4,2.2,0.2,0.2,0.3,0.2,2.1,2016,SG
Nathan Sobey,ADE,27,10,3.9,1.2,3.4,0.368,0.2,0.8,0.304,1.1,1.5,0.744,0.4,1.2,1.6,0.9,0.4,0.1,0.9,1.5,2016,SG
Tyson Demos,ILL,6,13.8,3.4,1.3,3.4,0.381,0.7,2.4,0.267,0.2,0.5,0.333,0,1.1,1.1,1.1,0.7,0,1,2.1,2016,SG
Dion Prewster,SYD,28,17.1,3.4,1.3,3.3,0.406,0.4,1.4,0.268,0.3,0.4,0.833,0.7,1.8,2.5,0.6,0.2,0.3,0.4,2.2,2016,SG
Greg Hire,PER,34,12.8,3.3,1.1,2.6,0.414,0.5,1.4,0.375,0.7,0.9,0.733,1.3,2,3.3,0.9,0.3,0,0.7,1.8,2016,SG
Igor Hadziomerovic,MEL,23,11.8,3.2,1,2.7,0.383,0.4,1.2,0.286,0.8,1.2,0.643,0.3,1.2,1.5,0.7,0.4,0.1,0.4,1.4,2016,SG
Kevin White,ILL,31,15.8,3.1,1.1,2.7,0.407,0.5,1.7,0.308,0.4,0.6,0.684,0.8,1.5,2.3,1.4,0.3,0,0.4,2.3,2016,SG
Steven Markovic,SYD,7,15.1,3,1.3,3,0.429,0.4,1.7,0.25,0,0,0,0,1.1,1.1,1.7,0.3,0,0.9,2,2016,SG
Indiana Faithfull,SYD,7,13.7,2.5,0.8,2.2,0.375,0.3,0.7,0.4,0.6,0.7,0.8,0.6,1.7,2.2,0.8,1,0.3,0,3.1,2016,SG
Owen Odigie,MEL,7,7.9,2.5,0.7,1.3,0.556,0.3,0.6,0.5,0.7,0.9,0.833,0.4,0.9,1.3,0.3,0,0.1,0.4,1.8,2016,SG
Kyle Adnam,MEL,8,7.4,2.3,0.9,3.7,0.241,0.3,1.4,0.182,0.3,0.4,0.667,0.1,0.3,0.4,0.5,0.3,0,0.5,0.4,2016,SG
Tom Howard,TOW,1,2.2,2,1,3,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,SG
Christopher Kann,TOW,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,SG
Rhys Vague,PER,6,5.1,1.5,0.5,1.3,0.375,0.3,0.8,0.4,0.2,1,0.167,0,0.7,0.7,0.3,0.2,0,0.3,0.5,2016,SG
Ben Dixon,PER,2,6,1.5,0.5,1,0.5,0.5,0.5,1,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,2016,SG
Luke Jamieson,ILL,6,3.5,1.4,0.5,1.2,0.375,0.2,0.3,0.5,0.3,0.6,0.5,0.8,0,0.8,0.2,0.3,0,0.2,0.6,2016,SG
Tony Tolovae,ILL,7,4,1,0.4,1.4,0.3,0,0.1,0,0.1,0.3,0.5,0,0.3,0.3,0.5,0.1,0,0.3,0.5,2016,SG
Benjamin Knight,SYD,4,5.3,0.5,0.3,1,0.25,0,0,0,0,0,0,0.5,1,1.5,0.3,0,0.3,0,0.5,2016,SG
Sam Johns,ADE,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0,2016,SG
Jack White,CRN,2,2.7,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2016,SG
Ashley Constable,CRN,1,1.3,0,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2016,SG
Jordan McRae,MEL,27,29.9,19.4,6.6,15,0.441,1.8,5.2,0.354,4.3,5.4,0.793,0.8,3.9,4.7,2.6,0.9,0.9,2.3,2.3,2015,SG
Brian Conklin,TOW,28,30,18.8,6.7,13.2,0.507,0,0.1,0.333,5.4,7.1,0.755,2.4,4,6.4,1.8,0.4,0.4,2.1,3,2015,SG
Jermaine Beal,PER,30,34.2,16.9,5.5,14.7,0.373,2.4,7.1,0.335,3.6,4.5,0.8,0.5,2.1,2.6,2.7,0.7,0.1,1.7,1.8,2015,SG
Ben Madgen,SYD,26,32.4,15.6,5.5,13.2,0.413,1.7,4.5,0.381,3,3.4,0.865,0.5,3.1,3.6,2,0.8,0.2,2,2,2015,SG
Cedric Jackson,NZB,32,33,14.7,5.3,14,0.378,1.4,4.9,0.281,2.7,4.6,0.593,1.4,4.3,5.7,5.9,2.2,0.2,3.3,2.6,2015,SG
Cameron Gliddon,CRN,32,31.1,11,3.6,9.4,0.386,1.9,5.6,0.333,1.9,2.4,0.784,0.9,3.8,4.7,2.7,1.2,0.3,1.5,1.7,2015,SG
Adam Gibson,ADE,30,32.3,10.2,3.7,9.6,0.386,1,3.9,0.25,1.8,2.2,0.817,0.5,3.6,4.1,5.1,1.5,0.1,2.2,2.6,2015,SG
Larry Davidson,ILL,23,21.9,6.6,2.5,5.7,0.444,0.3,1.3,0.207,1.3,1.9,0.674,2.1,4.5,6.6,0.7,0.2,0.6,1,2.8,2015,SG
Rhys Carter,NZB,32,18.3,6.5,2.3,6.4,0.357,1.4,4.3,0.331,0.6,0.7,0.783,0.3,2,2.3,1.8,0.6,0.1,1.1,1.6,2015,SG
Daryl Corletto,MEL,28,15.9,6.3,2.2,5.5,0.405,1.5,3.8,0.389,0.3,0.4,0.9,0.1,0.7,0.8,0.8,0.3,0.1,0.2,0.7,2015,SG
Shaun Bruce,CRN,31,14,3.9,1.4,3.7,0.376,0.5,1.5,0.364,0.6,0.8,0.739,0.6,1,1.6,1.8,0.4,0,0.7,1.7,2015,SG
Peter Crawford,ADE,29,12,3.6,1.3,3.6,0.363,0.7,2.3,0.329,0.3,0.4,0.727,0.4,1,1.4,0.7,0.4,0.2,0.7,1.3,2015,SG
Greg Hire,PER,11,13.4,3.6,0.9,2.1,0.435,0.4,0.8,0.444,1.4,1.6,0.833,1.2,1.6,2.8,1.2,0.4,0,0.2,1.2,2015,SG
Drake U'u,PER,29,11,3.5,1.2,3.2,0.393,0.5,1.6,0.311,0.5,0.8,0.609,0.5,1.1,1.6,0.5,0.3,0,0.5,1.4,2015,SG
Earnest Ross,PER,18,9,3.4,1.1,3.4,0.322,0.3,1.2,0.286,0.9,1.3,0.682,0.7,1.7,2.4,0.8,0.1,0,1,1.3,2015,SG
Brad Anderson,NZB,2,1.6,2.9,1,1,1,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,2015,SG
Kevin White,SYD,22,12.7,2.6,0.9,2.5,0.357,0.6,1.8,0.35,0.1,0.2,0.75,0.2,1,1.2,0.5,0.2,0,0.4,1.1,2015,SG
Tom Howard,TOW,2,2.8,2.4,1,2.9,0.333,0.5,1.9,0.25,0,0,0,0,0,0,0,0,0,0,0,2015,SG
Daniel Joyce,SYD,28,11,2.2,0.7,1.7,0.438,0.4,1,0.345,0.4,0.9,0.458,0.2,0.6,0.9,0.3,0.4,0.2,0.2,1.1,2015,SG
Mathiang Mauot Muo,PER,15,5.6,2,0.8,2,0.393,0.4,1.3,0.333,0,0,0,0.4,0.2,0.6,0,0.1,0,0.3,0.8,2015,SG
Owen Odigie,MEL,21,8.8,1.9,0.4,1.5,0.25,0.3,0.9,0.3,0.8,1.2,0.72,0.4,1,1.4,0.6,0.3,0.1,0.5,1,2015,SG
Nathan Sobey,CRN,10,5.3,1.6,0.7,1.5,0.429,0.3,0.4,0.75,0,0,0,0.2,1.6,1.9,0.1,0,0,0.5,0.5,2015,SG
Tyson Demos,ILL,21,7.6,1.4,0.5,2.1,0.233,0.1,1.1,0.136,0.3,0.8,0.375,0.2,0.5,0.7,0.4,0.3,0,0.6,1.3,2015,SG
Corey Maynard,CRN,16,6.4,1.4,0.4,1.6,0.24,0.3,1,0.333,0.3,0.4,0.667,0.6,0.8,1.4,0.8,0.3,0.1,0.5,0.6,2015,SG
Kyle Adnam,ILL,6,3.3,1.3,0.3,1,0.333,0,0.3,0,0.7,0.8,0.8,0,0.2,0.2,0.3,0.2,0,0,0.2,2015,SG
Luke Jamieson,ILL,3,1.5,1,0.3,0.7,0.5,0.3,0.7,0.5,0,0,0,0,0.3,0.3,0,0,0,0.3,0.3,2015,SG
Louis Timms,PER,2,0.8,1,0.5,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,2015,SG
Sam Johns,ADE,2,2.8,0.5,0,0.9,0,0,0.5,0,0.5,0.9,0.5,0.5,0.9,1.4,0,0,0,0.5,0.5,2015,SG
Madol Chol,SYD,6,2.6,0.3,0.2,0.7,0.25,0,0.3,0,0,0,0,0,0.7,0.7,0.2,0,0.3,0.2,0.3,2015,SG
Dominique Cooks,ILL,8,1.7,0.3,0,0.3,0,0,0.1,0,0.3,0.3,1,0,0.4,0.4,0,0,0,0.4,0,2015,SG
Greg Page,MEL,8,3.2,0.2,0.1,0.9,0.143,0,0.5,0,0,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0.2,2015,SG
James Trustum,SYD,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,SG
Chris Goulding,MEL,30,35.8,23.2,7.7,17.6,0.438,3.3,8.7,0.372,4.5,5.6,0.805,0.7,2.6,3.3,2.9,0.4,0.2,2.8,2.4,2014,SG
Jermaine Beal,PER,33,31.7,16,5.3,12.5,0.42,3.1,7.3,0.432,2.3,2.8,0.824,0.4,2.1,2.5,3.5,0.5,0,2,1.9,2014,SG
Kevin Tiggs,ILL,26,20.9,15.3,5.8,11,0.526,0.6,2.1,0.302,3.1,4.2,0.738,1.2,2.3,3.5,1.8,1.1,0.1,2.3,2.3,2014,SG
Ben Madgen,SYD,28,31.1,15.1,5.3,12.1,0.44,1.7,4.2,0.392,2.8,3.5,0.798,0.4,2.9,3.3,2.4,0.7,0.1,1.7,1.9,2014,SG
Josh Pace,TOW,23,27.8,14.8,6,12.1,0.498,0,0.4,0.1,2.7,3.3,0.805,2.2,2.8,5,1.7,0.5,0.4,1.7,2.7,2014,SG
Cameron Gliddon,CRN,25,30.5,12.4,4.4,8.7,0.502,1.6,4.2,0.369,2.1,2.6,0.81,0.7,2.5,3.2,3,1.1,0.3,2,2.2,2014,SG
Demetri McCamey,CRN,28,27.2,11.9,4.3,10,0.427,2.1,5.8,0.358,1.3,1.7,0.745,0.7,2.7,3.4,3,0.7,0.3,1.8,2.4,2014,SG
Adam Gibson,ADE,31,32,11.5,4.6,9.5,0.478,1.4,3.6,0.383,1,1.4,0.711,0.7,3.2,3.9,4.5,0.8,0.3,1.8,2.8,2014,SG
Mustapha Farrakhan,MEL,22,20.8,10.4,3.8,9.3,0.405,1.1,3.4,0.32,1.7,2.5,0.679,0.4,1.6,2,2.2,0.2,0.1,1.6,1.9,2014,SG
Corey Webster,NZB,28,20.1,8.3,3.3,7.9,0.421,0.9,2.7,0.346,0.6,0.9,0.654,0.5,1.4,1.8,2.2,0.8,0.1,1.6,1.9,2014,SG
James Harvey,SYD,21,19.4,7.6,2.7,6.6,0.41,1.2,3.9,0.313,0.9,1.2,0.8,0.3,1.6,1.9,1.4,0.1,0.1,1.3,2.2,2014,SG
Daryl Corletto,NZB,27,18.4,7.5,2.4,6.2,0.39,1.4,3.6,0.404,1,1,0.931,0.3,0.5,0.8,0.9,0.1,0,0.3,1.8,2014,SG
Mitchell Creek,ADE,33,16.1,7.2,2.5,5,0.497,0.4,1.1,0.342,1.8,2.5,0.719,1.1,2.5,3.6,0.9,0.5,0.3,0.9,1.8,2014,SG
Larry Davidson,ILL,26,23.6,7.1,2.5,5.6,0.453,0.5,1.7,0.279,1.5,1.9,0.783,1.9,4.2,6.1,0.9,0.3,0.3,1,2.2,2014,SG
Peter Crawford,TOW,24,16.4,6.9,2.4,6.8,0.362,1.2,3.9,0.316,0.7,0.8,0.9,0.5,1.7,2.3,0.6,0.6,0.2,1,2.1,2014,SG
Rhys Carter,ADE,14,15.5,6.1,2,5.6,0.361,1.6,4.3,0.359,0.5,0.5,0.875,0.5,1.5,2,1.6,0.7,0.2,0.7,1.7,2014,SG
Tyson Demos,ILL,28,19.5,5.6,1.9,5.2,0.362,0.6,2.2,0.276,1.2,1.9,0.673,0.7,1.8,2.5,1.4,0.5,0.1,0.9,2.2,2014,SG
Ayinde Ubaka,MEL,7,21.7,5.5,2.1,6.6,0.318,0.9,2.8,0.316,0.4,0.6,0.75,0.1,1.3,1.5,1.8,0,0.1,0.6,0.9,2014,SG
Greg Hire,PER,33,16.1,4.2,1.3,3.9,0.347,0.4,1.8,0.211,1.1,1.4,0.783,1.9,3,4.9,1.4,0.2,0.1,0.6,1.7,2014,SG
Scott Kenny,TOW,15,7.8,3.5,1.2,2.9,0.409,0.7,2.1,0.333,0.5,0.7,0.636,0.1,0.5,0.6,0.1,0.1,0,0.2,0.9,2014,SG
Shaun Gleeson,SYD,3,3.7,3.1,1,1.4,0.75,1,1.4,0.75,0,0,0,0,0,0,0.3,0,0,0,0.3,2014,SG
Drake U'u,PER,32,6.6,2.3,0.8,2,0.381,0.4,1.2,0.342,0.4,0.6,0.667,0.4,0.5,1,0.6,0.1,0,0.4,1,2014,SG
Kevin White,SYD,28,15.4,1.7,0.7,1.9,0.358,0.2,1.2,0.206,0.1,0.1,1,0.3,1.2,1.5,1.1,0.2,0.1,0.4,1.8,2014,SG
Dominique Cooks,ILL,3,6.2,1.5,0.4,1.9,0.2,0,0.4,0,0.7,0.7,1,0.4,0.4,0.7,0,0,0,0.4,0,2014,SG
Shaun Bruce,CRN,21,6.8,1.4,0.5,1.7,0.294,0,0.8,0.063,0.2,0.4,0.556,0.2,0.7,1,0.6,0,0.1,0.5,1.1,2014,SG
Alonzo Burton,NZB,7,1.1,0.7,0.1,0.7,0.2,0.1,0.6,0.25,0.3,0.3,1,0,0.4,0.4,0,0.1,0.1,0.4,0,2014,SG
Greg Page,MEL,7,5.1,0.6,0.1,1.2,0.125,0,0.7,0,0.3,0.6,0.5,0,0.7,0.7,0.4,0.1,0,0,0.6,2014,SG
Daniel Sims,ADE,5,3.1,0.4,0.2,1.3,0.143,0,0.6,0,0,0.4,0,0,0.4,0.4,0.4,0,0,0.6,0.2,2014,SG
Brooke Ruscoe,CRN,2,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014,SG
Luuk Wittiveen,NZB,1,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,SG
Jarrad Prue,PER,3,4,0,0,0.4,0,0,0,0,0,0,0,1.8,1.4,3.2,0.7,0.4,0,0,0.4,2014,SG
Ben Madgen,SYD,31,33.5,18.3,6.7,15.1,0.442,1.3,4.3,0.306,3.6,4.2,0.857,0.6,2.8,3.4,2.4,0.8,0.2,1.9,2.1,2013,SG
Chris Goulding,MEL,26,32.9,15,5.3,13.3,0.399,1.8,5.6,0.331,2.6,3.2,0.819,0.5,2.6,3.1,2.1,0.9,0.2,2.3,2.3,2013,SG
Adam Gibson,ADE,28,32.2,11.4,4.4,10.7,0.409,1.4,4.2,0.345,1.2,1.6,0.778,0.5,3.1,3.6,4.8,0.7,0.1,2,3,2013,SG
Daryl Corletto,NZB,33,21.4,9.4,3.3,7.6,0.436,1.7,4.1,0.416,1.1,1.2,0.927,0.4,0.7,1.1,0.9,0.3,0.1,0.5,1.8,2013,SG
Aaron Bruce,SYD,30,29.5,9,3.2,9.2,0.353,0.9,3,0.286,1.7,2.1,0.797,0.7,1.9,2.6,3.2,0.6,0.3,1.9,2.3,2013,SG
Aaron Grabau,CRN,23,21.2,7.5,2.4,4.9,0.5,1.6,3,0.529,1,1.3,0.793,1.2,2,3.2,0.7,0.4,0.1,1.1,2.3,2013,SG
Cameron Gliddon,CRN,28,31.2,7.2,2.5,7.1,0.359,1.4,4.8,0.288,0.8,0.9,0.84,0.8,3.4,4.1,2.9,1.5,0.6,1.4,1.8,2013,SG
Michael Cedar,TOW,28,20.4,7.1,2.6,7.7,0.343,1.2,4.3,0.273,0.7,0.9,0.8,0.4,2.1,2.5,1.6,0.4,0.2,1,1.5,2013,SG
Damian Martin,PER,29,27.1,6.5,2.6,6.8,0.378,0.5,2.2,0.219,0.9,1.3,0.667,2.2,2.7,4.9,3.2,1.9,0.6,1.4,1.9,2013,SG
Rhys Carter,PER,16,18.7,6.2,2.2,7,0.312,1.3,5.2,0.25,0.5,0.9,0.571,1.3,1.6,2.8,2.3,1.5,0.2,1.3,1.8,2013,SG
Greg Hire,PER,32,20.9,5,1.7,5.1,0.331,0.8,2.8,0.297,0.8,1,0.813,2.2,3.5,5.7,1.7,0.7,0.2,1,2.2,2013,SG
Mitchell Norton,TOW,28,14.8,4.1,1.2,3.1,0.402,0.4,1.2,0.303,1.3,2,0.643,0.1,0.9,1,0.9,0.3,0,0.9,1.7,2013,SG
C.J. Massingale,ADE,10,9.5,4,1.2,2.8,0.414,0.4,1.7,0.235,1.3,1.4,0.929,0.2,0.7,0.9,0.2,0.4,0.2,0.5,1.1,2013,SG
Tyson Demos,ILL,23,17.6,3.9,1.2,4,0.292,0.8,2.5,0.309,0.8,1.1,0.68,0.2,1.5,1.7,1.3,0.3,0,0.9,2,2013,SG
Scott Christopherson,ADE,14,14.9,2.8,0.9,3.3,0.277,0.5,1.8,0.269,0.5,0.6,0.875,0.1,1.9,2,0.4,0.1,0,1.1,0.9,2013,SG
Dillon Boucher,NZB,33,18.6,2.8,1.2,2.4,0.481,0,0,0,0.4,0.7,0.6,1.2,2,3.2,2.5,0.9,0.4,1.4,2.9,2013,SG
Nate Tomlinson,MEL,28,16.8,2.6,0.7,2.5,0.29,0.3,1.4,0.211,0.9,1.2,0.706,0.2,1.2,1.4,2.7,0.4,0,1.5,1.8,2013,SG
Kevin White,SYD,31,15.8,2.1,0.7,2.5,0.299,0.2,1.3,0.171,0.4,0.7,0.619,0.5,2,2.5,1.1,0.5,0.1,0.4,2,2013,SG
Shaun Bruce,CRN,17,6,1.1,0.3,0.9,0.333,0.2,0.3,0.6,0.4,0.7,0.5,0.1,0.5,0.5,0.6,0.2,0.1,0.5,0.7,2013,SG
Callum Jenkins,SYD,3,1.9,1,0.3,0.3,1,0,0,0,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0.3,0,2013,SG
Daniel Joyce,SYD,9,9.5,0.9,0.3,0.8,0.429,0.2,0.7,0.333,0,0.1,0,0.2,1.1,1.3,0.3,0.2,0.2,0.1,1.5,2013,SG
James Mitchell,CRN,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,SG
Kyle Armour,PER,2,3.4,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,2013,SG
Peter Crawford,TOW,31,28.7,14.6,4.9,11.1,0.441,2.6,6.5,0.4,2.8,3.4,0.83,0.5,2.7,3.2,1.6,1.1,0.4,2.7,2.6,2012,SG
Ayinde Ubaka,ILL,11,30.8,14.5,4.5,11.5,0.395,1.4,4.1,0.357,4,4.9,0.804,0.6,3.2,3.8,2.8,0.9,0,3.2,1.7,2012,SG
Andrew Warren,CRN,28,32.2,13.7,4.8,12.2,0.394,2.4,7.1,0.344,1.8,2.4,0.75,0.5,2.8,3.3,1.4,0.7,0.2,1.9,2.4,2012,SG
Aaron Bruce,SYD,17,27.2,13.5,4.1,10.5,0.388,1.5,4.5,0.346,3.6,4,0.9,1,1.5,2.5,4.2,0.6,0.2,2.9,2.9,2012,SG
Ben Madgen,SYD,28,28.2,12.7,4.7,11.7,0.405,1,3.3,0.305,2.2,3.1,0.708,0.6,2.5,3.1,1.7,0.6,0.1,1.8,1.6,2012,SG
Ayinde Ubaka,MEL,18,33,12.2,3.9,9.6,0.404,1.7,4.6,0.37,2.8,3.2,0.877,0.3,2.1,2.5,3.3,0.4,0.1,2.4,2.1,2012,SG
Rhys Martin,ILL,28,26.9,10.3,3.5,7.6,0.463,0.9,2.6,0.329,2.4,3.3,0.727,0.5,2.1,2.6,3.8,0.8,0.2,2.7,2,2012,SG
Daryl Corletto,NZB,33,25.6,9.9,3.4,8.1,0.425,1.8,4.6,0.4,1.2,1.4,0.87,0.2,1.2,1.5,1.3,0.5,0,0.6,1.6,2012,SG
James Harvey,GCB,8,21.5,9.7,3.7,8.3,0.444,1.3,2.8,0.458,1.7,2.2,0.789,0.5,0.7,1.2,1,0.7,0,1,1.8,2012,SG
Elvin Mims,TOW,31,23.7,9.6,4.2,8.7,0.487,0.1,0.5,0.25,1,1.4,0.727,1.8,3.9,5.7,0.6,1.3,0.7,1.1,2.6,2012,SG
Daniel Dillon,MEL,27,27.5,8.4,2.9,7.3,0.4,0.6,2.1,0.273,2.1,2.8,0.743,0.7,2.5,3.2,3.4,0.9,0.3,2.8,2.6,2012,SG
Mat Campbell,ILL,26,23.6,8.1,2.7,6.6,0.411,1.7,4.1,0.402,1,1.3,0.839,0.4,1.1,1.5,1.6,0.4,0.1,0.9,1.8,2012,SG
Chris Goulding,GCB,27,18.4,7.4,2.6,6.2,0.42,1,3.1,0.329,1.1,1.4,0.775,0.8,1.3,2.1,0.8,0.3,0,1,1.3,2012,SG
Aaron Grabau,CRN,28,21.9,7.3,2.2,5.2,0.421,1.6,3.4,0.452,1.4,1.6,0.886,1,2.4,3.4,0.8,0.7,0.4,0.8,1.8,2012,SG
