Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Damian Martin,PER,0.476,0.476,116.2,2.9,17.4,10.0,16.9,20.1,3.2,0.6,9.9,3.4,1.0,103.7,102.2,1.5,169.1,10.7,2017,SG
Marvelle Harris,ILL,0.474,0.406,138.6,3.5,10.2,6.8,12.8,14.7,2.5,0.4,25.7,-3.3,1.1,93.9,108.6,-14.7,118.2,10.3,2017,SG
Rhys Martin,ILL,0.481,0.414,145.1,3.8,10.4,7.1,20.6,24.1,3.6,0.8,17.5,-0.4,1.1,93.9,106.5,-12.6,132.0,9.9,2017,SG
Andre Ingram,PER,0.5,0.5,85.3,2.5,7.4,4.9,12.0,15.0,2.5,0.0,21.5,-2.6,1.0,102.1,99.0,3.1,6.2,9.8,2017,SG
Mason Bragg,PER,0.424,0.413,105.8,7.9,9.6,8.8,23.1,19.5,2.1,0.0,17.9,1.8,0.9,95.0,110.0,-15.0,13.5,8.6,2017,SG
William McDowell-White,SYD,0.582,0.583,136.1,3.0,3.6,3.3,17.6,31.8,2.9,0.0,11.8,-1.0,1.3,95.8,115.2,-19.4,11.6,7.9,2017,SG
Steve Blake,SYD,0.46,0.427,159.8,2.0,11.6,7.0,16.7,16.0,0.8,0.5,17.1,1.3,1.0,95.1,115.5,-20.4,33.3,7.8,2017,SG
Shaun Bruce,BRI,0.505,0.424,152.2,3.3,7.4,5.4,18.2,23.5,1.1,0.3,17.3,-1.4,1.2,97.6,119.1,-21.5,75.9,7.8,2017,SG
Owen Odigie,MEL,0.433,0.432,99.6,2.3,17.1,9.3,3.0,18.8,2.9,1.2,12.4,-3.8,1.0,80.3,107.0,-26.6,36.2,6.6,2017,SG
Matthew Kenyon,BRI,0.397,0.329,114.0,2.9,6.1,4.6,5.8,19.4,1.2,0.0,13.1,-3.1,0.9,80.6,122.3,-41.7,1.9,1.9,2017,SG
Dion Prewster,SYD,0.447,0.441,112.6,2.1,4.2,3.1,2.7,21.9,1.8,1.6,18.1,-7.6,0.9,74.9,113.1,-38.2,-2.0,1.3,2017,SG
Christopher Kann,TOW,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,2.0,200.0,94.3,105.7,0.8,71.2,2016,SG
Garrett Jackson,MEL,0.55,0.519,155.0,8.3,13.7,11.0,2.9,3.4,0.9,2.7,21.8,-0.6,1.2,118.7,112.6,6.1,18.3,18.8,2016,SG
Cameron Gliddon,CRN,0.618,0.575,172.4,2.7,12.3,7.4,11.7,9.7,1.4,0.6,16.8,1.2,1.4,124.4,117.2,7.2,288.6,16.8,2016,SG
Chris Goulding,MEL,0.557,0.518,158.7,1.3,10.4,6.0,15.1,12.2,0.9,0.2,26.3,-1.5,1.2,108.6,112.4,-3.8,254.3,16.6,2016,SG
Jordair Jett,TOW,0.502,0.475,137.4,2.7,11.6,7.0,22.9,14.7,2.1,0.9,28.9,-1.7,1.1,100.5,112.9,-12.5,208.1,16.5,2016,SG
Luke Jamieson,ILL,0.461,0.438,137.5,25.6,0.0,13.3,6.9,9.3,4.7,0.0,20.5,-1.4,1.1,114.1,96.7,17.4,6.1,15.6,2016,SG
Cedric Jackson,NZB,0.475,0.455,121.3,3.1,15.9,9.7,31.4,18.0,2.1,0.6,22.1,3.7,1.1,101.3,100.8,0.5,344.5,13.9,2016,SG
Jermaine Beal,PER,0.515,0.449,155.4,1.9,6.6,4.2,18.9,11.3,0.9,0.1,23.2,1.5,1.2,111.5,110.5,1.0,246.6,13.6,2016,SG
Adam Gibson,ADE,0.568,0.51,170.8,3.1,10.7,6.9,21.7,16.0,1.3,0.3,14.5,4.1,1.3,119.0,112.3,6.7,208.4,12.7,2016,SG
Corey Maynard,TOW,0.559,0.52,166.0,3.4,14.3,8.7,14.7,18.5,1.3,0.0,16.5,-0.8,1.2,107.2,112.1,-4.8,100.6,11.6,2016,SG
Rhys Martin,ILL,0.514,0.473,154.7,2.4,12.3,7.3,23.0,16.3,1.2,0.7,16.8,3.7,1.1,108.6,111.4,-2.9,124.9,11.4,2016,SG
Greg Hire,PER,0.559,0.517,152.2,10.7,17.4,14.0,10.5,20.0,1.2,0.2,12.6,-1.2,1.3,113.6,106.1,7.4,115.2,11.4,2016,SG
Ebi Ere,ADE,0.513,0.487,142.9,3.5,7.7,5.6,7.7,11.1,1.4,0.3,22.6,-2.5,1.1,104.5,111.8,-7.3,112.5,11.3,2016,SG
Owen Odigie,MEL,0.73,0.667,188.9,6.1,11.9,9.0,6.4,20.5,0.0,1.4,12.4,-3.2,1.9,127.0,116.3,10.6,9.8,11.2,2016,SG
Indiana Faithfull,SYD,0.495,0.438,157.5,5.1,14.6,10.0,8.3,0.0,3.7,1.8,8.5,4.0,1.1,126.5,114.3,12.2,20.7,10.6,2016,SG
Marcus Thornton,SYD,0.496,0.438,152.1,1.5,7.7,4.6,10.9,12.0,1.0,0.1,22.0,-1.4,1.1,98.5,115.3,-16.8,133.3,10.1,2016,SG
Nathan Sobey,ADE,0.478,0.405,141.7,4.0,13.9,9.0,13.3,18.0,1.8,1.2,21.8,-3.1,1.1,95.1,107.4,-12.3,47.3,9.5,2016,SG
Rhys Carter,SYD,0.504,0.476,149.4,2.0,12.0,7.1,13.0,16.7,2.2,0.3,16.7,-0.6,1.1,97.3,110.9,-13.6,98.0,9.5,2016,SG
Igor Hadziomerovic,MEL,0.498,0.45,131.2,2.4,10.4,6.5,8.7,12.1,1.8,0.9,13.9,0.3,1.2,103.7,110.9,-7.2,46.1,9.3,2016,SG
Ben Dixon,PER,0.75,0.75,150.0,9.8,0.0,4.8,12.3,33.3,0.0,0.0,11.6,-2.8,1.5,115.6,120.5,-4.8,2.0,8.4,2016,SG
Kevin White,ILL,0.525,0.5,139.9,5.9,11.4,8.6,12.6,12.9,0.8,0.2,9.7,3.0,1.2,120.3,113.3,7.0,88.4,8.0,2016,SG
Benjamin Knight,SYD,0.25,0.25,25.0,11.0,22.2,16.6,6.5,0.0,0.0,4.1,8.8,3.2,0.5,92.0,118.0,-26.0,5.0,7.3,2016,SG
Shaun Bruce,CRN,0.442,0.396,133.2,3.6,7.6,5.6,14.3,14.6,0.8,0.0,17.1,0.7,1.0,94.2,120.3,-26.1,75.1,7.2,2016,SG
Dion Prewster,SYD,0.489,0.464,150.8,4.8,11.3,8.1,5.2,10.6,0.7,1.6,10.4,-0.1,1.0,104.5,113.5,-9.0,67.6,6.7,2016,SG
Tom Howard,TOW,0.333,0.333,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3,0.0,0.7,66.5,98.3,-31.9,-0.3,5.6,2016,SG
Steven Markovic,SYD,0.5,0.5,67.9,0.0,7.9,4.0,19.3,22.2,1.0,0.0,11.6,1.9,1.0,93.0,115.7,-22.7,12.3,5.3,2016,SG
Tyson Demos,ILL,0.47,0.476,98.1,0.0,9.4,4.6,12.0,21.2,2.5,0.0,14.5,-1.5,1.0,88.4,113.5,-25.1,7.7,5.0,2016,SG
Rhys Vague,PER,0.423,0.5,94.2,0.0,14.9,7.3,8.9,15.8,1.7,0.0,17.5,-2.2,1.1,81.5,102.4,-20.9,3.3,4.7,2016,SG
Sam Johns,ADE,0.0,0.0,0.0,0.0,21.3,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,-76.9,0.7,3.4,2016,SG
Tony Tolovae,ILL,0.322,0.3,80.0,0.0,8.6,4.1,20.5,15.5,1.8,0.0,18.9,2.2,0.7,76.9,101.8,-25.0,1.2,2.2,2016,SG
Kyle Adnam,MEL,0.297,0.276,109.0,1.7,3.6,2.6,11.1,11.7,1.8,0.0,26.8,-2.4,0.6,64.2,110.3,-46.1,-1.9,0.4,2016,SG
Brad Anderson,NZB,1.23,1.25,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,0.0,3.0,250.0,122.6,127.4,4.0,79.6,2015,SG
Louis Timms,PER,1.0,1.0,100.0,0.0,95.2,51.3,0.0,0.0,0.0,0.0,21.8,0.0,2.0,200.0,54.9,145.1,2.2,49.1,2015,SG
Brian Conklin,TOW,0.575,0.508,159.5,8.9,14.6,11.8,11.3,11.5,0.7,1.2,26.9,-3.1,1.4,116.5,108.5,8.1,298.6,20.6,2015,SG
Jordan McRae,MEL,0.557,0.502,158.8,3.0,14.5,8.8,17.5,11.7,1.6,2.5,31.0,-1.8,1.3,107.3,104.6,2.7,292.0,20.3,2015,SG
Greg Hire,PER,0.631,0.522,171.3,9.1,13.6,11.3,14.6,6.1,1.4,0.0,9.7,4.6,1.7,149.4,105.4,44.0,50.1,15.4,2015,SG
Kyle Adnam,ILL,0.488,0.333,113.3,0.0,5.7,2.8,16.6,0.0,2.6,0.0,18.4,6.6,1.3,117.0,110.7,6.3,4.9,15.2,2015,SG
Cedric Jackson,NZB,0.459,0.427,125.3,4.7,14.3,9.5,29.3,16.9,3.4,0.5,25.8,2.1,1.1,97.7,99.8,-2.1,347.7,15.1,2015,SG
Cameron Gliddon,CRN,0.527,0.486,150.3,3.1,13.3,8.1,12.9,12.7,2.0,0.8,16.6,0.9,1.2,110.9,106.6,4.4,278.0,14.0,2015,SG
Ben Madgen,SYD,0.53,0.478,165.9,1.8,10.7,6.3,11.2,11.7,1.4,0.6,23.4,-1.9,1.2,104.2,112.5,-8.3,190.8,13.8,2015,SG
Jermaine Beal,PER,0.508,0.454,150.8,1.5,6.9,4.1,13.8,9.2,1.0,0.4,23.2,0.2,1.2,110.1,110.5,-0.4,214.1,13.6,2015,SG
Luke Jamieson,ILL,0.75,0.75,100.0,0.0,29.1,14.2,0.0,33.3,0.0,0.0,34.0,-26.4,1.5,84.3,119.1,-34.8,0.8,12.9,2015,SG
Larry Davidson,ILL,0.507,0.468,132.6,10.7,21.7,16.3,5.3,13.7,0.4,2.2,15.6,-2.6,1.2,105.7,113.2,-7.6,141.8,12.6,2015,SG
Daryl Corletto,MEL,0.551,0.538,169.4,0.5,5.0,2.7,8.6,3.6,0.9,0.4,17.4,2.0,1.1,112.9,110.5,2.4,88.9,11.7,2015,SG
Adam Gibson,ADE,0.482,0.437,145.3,1.7,12.7,7.2,24.4,17.3,2.4,0.3,17.5,3.4,1.1,101.9,103.9,-2.0,255.7,11.3,2015,SG
Tom Howard,TOW,0.417,0.417,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,0.8,90.3,94.6,-4.3,0.5,10.7,2015,SG
Shaun Bruce,CRN,0.483,0.45,147.9,4.8,7.8,6.2,19.4,14.4,1.4,0.0,14.6,4.1,1.1,108.8,110.3,-1.5,89.2,10.5,2015,SG
Rhys Carter,NZB,0.488,0.469,147.1,1.9,12.1,7.0,15.5,14.2,1.7,0.4,18.8,0.7,1.0,100.9,104.4,-3.5,126.6,10.3,2015,SG
Corey Maynard,CRN,0.38,0.34,124.0,10.7,13.9,12.3,16.6,22.4,2.6,0.9,16.0,0.0,0.8,91.1,106.1,-15.0,25.5,9.6,2015,SG
Drake U'u,PER,0.494,0.472,131.3,5.0,10.8,7.8,7.9,12.4,1.5,0.3,15.8,-1.3,1.1,104.5,107.5,-3.0,52.9,9.5,2015,SG
Nathan Sobey,CRN,0.536,0.536,117.9,4.4,31.6,18.2,3.0,26.3,0.0,0.0,16.6,-9.7,1.1,85.5,100.4,-15.0,12.3,8.1,2015,SG
Peter Crawford,ADE,0.479,0.465,141.9,3.7,9.8,6.8,9.6,15.1,1.7,1.2,16.4,-1.4,1.0,97.2,105.9,-8.6,54.9,7.8,2015,SG
Earnest Ross,PER,0.43,0.373,129.0,8.3,21.7,14.8,13.3,20.8,0.3,0.0,24.3,-6.3,1.0,86.6,104.8,-18.3,27.1,7.6,2015,SG
Owen Odigie,MEL,0.465,0.344,127.0,5.4,12.3,8.9,9.5,18.9,1.9,0.9,13.3,-1.0,1.3,96.2,103.3,-7.0,31.3,7.6,2015,SG
Daniel Joyce,SYD,0.538,0.542,124.1,2.3,6.6,4.5,3.9,10.7,1.7,1.3,9.6,-0.5,1.3,107.1,113.4,-6.3,38.4,7.2,2015,SG
Mathiang Mauot Muo,PER,0.5,0.5,72.6,8.0,4.1,6.1,0.0,15.2,0.6,0.0,17.9,-6.5,1.0,96.7,110.1,-13.4,6.0,6.6,2015,SG
Kevin White,SYD,0.493,0.482,145.7,1.7,8.9,5.4,5.5,13.5,0.9,0.0,10.9,-0.8,1.0,97.2,114.7,-17.5,28.0,5.3,2015,SG
Madol Chol,SYD,0.25,0.25,25.0,0.0,29.8,14.8,9.2,20.0,0.0,10.1,14.1,-2.0,0.5,52.6,112.0,-59.4,3.0,3.9,2015,SG
Shaun Gleeson,SYD,1.125,1.125,150.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,17.9,6.5,2.3,222.3,129.6,92.7,6.7,38.2,2014,SG
Jarrad Prue,PER,0.0,0.0,0.0,53.8,35.7,43.9,22.7,0.0,4.8,0.0,3.8,13.0,0.0,175.1,75.1,100.0,10.5,31.6,2014,SG
Kevin Tiggs,ILL,0.596,0.555,156.5,6.8,13.0,9.9,17.8,15.2,2.8,0.3,33.8,-5.5,1.4,111.3,117.0,-5.7,206.4,25.1,2014,SG
Chris Goulding,MEL,0.578,0.531,161.5,2.3,8.1,5.3,15.5,12.4,0.7,0.6,29.6,-2.6,1.3,112.3,117.7,-5.4,299.2,18.0,2014,SG
Josh Pace,TOW,0.545,0.5,140.3,9.5,12.7,11.0,11.7,11.0,0.9,1.2,25.3,-2.0,1.2,111.6,115.3,-3.7,189.8,17.4,2014,SG
Mitchell Creek,ADE,0.585,0.534,155.8,7.9,17.4,12.8,9.3,12.2,1.5,2.0,19.7,-1.3,1.4,119.0,105.4,13.6,179.3,16.5,2014,SG
Cameron Gliddon,CRN,0.629,0.592,168.1,2.8,10.5,6.5,15.9,16.9,1.9,0.9,17.9,0.0,1.4,118.7,115.7,2.9,217.8,15.8,2014,SG
Jermaine Beal,PER,0.581,0.546,167.6,1.4,7.8,4.6,17.8,12.8,0.9,0.0,21.9,0.9,1.3,121.0,113.0,8.0,281.5,15.3,2014,SG
Ben Madgen,SYD,0.554,0.509,163.0,1.6,10.9,6.3,13.3,11.1,1.3,0.4,22.6,-0.3,1.2,113.7,116.5,-2.8,221.4,15.2,2014,SG
Demetri McCamey,CRN,0.553,0.531,153.0,2.9,12.7,7.7,17.9,14.3,1.3,0.9,21.0,0.7,1.2,111.4,116.6,-5.2,205.9,14.5,2014,SG
Larry Davidson,ILL,0.56,0.496,151.4,9.7,20.7,15.2,6.0,13.7,0.7,1.3,14.6,-1.8,1.3,114.7,120.3,-5.6,177.5,13.6,2014,SG
Greg Hire,PER,0.465,0.395,134.0,13.4,21.9,17.6,12.2,11.1,0.8,0.7,13.8,2.2,1.1,119.5,106.8,12.6,170.8,13.4,2014,SG
Adam Gibson,ADE,0.566,0.551,157.2,2.7,11.0,6.9,22.0,15.0,1.3,0.9,16.8,3.6,1.2,116.4,108.8,7.6,289.5,13.2,2014,SG
Rhys Carter,ADE,0.52,0.5,159.6,3.5,10.3,7.1,15.9,11.3,2.6,1.3,19.1,1.8,1.1,111.9,106.0,6.0,58.5,12.8,2014,SG
Mustapha Farrakhan,MEL,0.496,0.463,140.3,2.1,8.7,5.5,20.4,13.2,0.5,0.6,26.8,-0.5,1.1,99.7,117.1,-17.4,87.4,11.6,2014,SG
Corey Webster,NZB,0.497,0.48,142.1,2.7,8.7,5.6,17.8,16.1,2.2,0.4,23.0,-0.8,1.0,97.3,114.8,-17.5,112.2,10.9,2014,SG
Daryl Corletto,NZB,0.566,0.506,172.5,1.9,3.7,2.7,8.0,4.6,0.4,0.2,17.6,1.6,1.2,118.3,119.5,-1.2,83.6,10.3,2014,SG
Scott Kenny,TOW,0.553,0.534,137.9,1.0,8.5,4.6,1.5,5.8,0.4,0.0,20.1,-1.9,1.2,111.6,117.9,-6.4,15.4,10.1,2014,SG
Peter Crawford,TOW,0.483,0.454,157.8,3.9,13.3,8.5,6.6,12.7,2.0,0.9,23.0,-3.8,1.0,95.9,115.0,-19.2,64.5,9.9,2014,SG
Drake U'u,PER,0.515,0.484,139.0,7.3,9.6,8.4,13.2,15.5,0.8,0.0,17.9,-0.5,1.2,110.8,111.4,-0.6,37.6,9.8,2014,SG
James Harvey,SYD,0.533,0.504,152.3,1.8,10.2,6.0,11.6,15.7,0.4,0.4,19.8,-1.9,1.2,104.4,120.8,-16.4,60.9,9.3,2014,SG
Tyson Demos,ILL,0.467,0.42,131.2,4.0,10.8,7.4,11.1,13.1,1.3,0.4,16.6,0.3,1.1,100.6,122.4,-21.8,84.8,9.0,2014,SG
Alonzo Burton,NZB,0.425,0.3,145.0,0.0,42.4,22.2,0.0,33.8,6.6,10.1,52.6,-35.8,1.0,57.6,83.3,-25.7,1.7,6.6,2014,SG
Ayinde Ubaka,MEL,0.404,0.386,138.4,0.8,6.7,3.8,11.6,8.0,0.0,0.6,15.6,2.9,0.8,94.7,119.1,-24.3,17.0,5.8,2014,SG
Kevin White,SYD,0.442,0.425,156.4,2.2,9.2,5.7,10.3,18.1,0.7,0.4,7.0,2.1,0.9,101.3,118.2,-16.9,42.7,4.3,2014,SG
Dominique Cooks,ILL,0.34,0.2,120.0,5.4,7.1,6.2,0.0,14.5,0.0,0.0,18.4,-6.6,0.8,73.2,151.9,-78.7,0.3,2.0,2014,SG
Greg Page,MEL,0.205,0.125,62.5,0.0,15.7,7.9,12.5,0.0,1.5,0.0,12.9,5.7,0.5,63.4,110.0,-46.6,2.3,1.7,2014,SG
Shaun Bruce,CRN,0.369,0.309,91.2,4.3,13.7,8.9,12.3,20.9,0.0,1.4,15.7,-1.5,0.8,76.6,119.7,-43.1,8.1,1.6,2014,SG
Ben Madgen,SYD,0.539,0.485,160.5,2.2,9.9,6.0,14.7,10.1,1.2,0.5,26.4,-0.9,1.2,109.3,109.3,0.0,262.6,18.6,2013,SG
Damian Martin,PER,0.441,0.413,126.3,8.8,12.2,10.4,18.6,16.1,3.7,2.2,14.3,2.6,1.0,104.1,90.0,14.1,242.4,14.8,2013,SG
Aaron Grabau,CRN,0.688,0.664,182.3,6.2,10.9,8.5,6.1,16.4,0.9,0.5,14.1,-2.9,1.5,124.5,108.1,16.4,115.5,14.8,2013,SG
Callum Jenkins,SYD,0.798,1.0,150.0,0.0,19.4,9.7,0.0,34.7,0.0,0.0,22.6,-16.7,3.0,90.7,100.6,-9.9,1.3,14.4,2013,SG
Daryl Corletto,NZB,0.576,0.547,177.9,2.5,3.9,3.2,7.2,5.5,0.7,0.2,17.9,0.6,1.2,128.9,104.8,24.1,133.1,14.4,2013,SG
C.J. Massingale,ADE,0.583,0.483,157.8,2.4,7.8,5.2,3.7,12.5,2.3,1.7,19.2,-3.7,1.4,111.7,102.1,9.6,18.4,14.3,2013,SG
Rhys Carter,PER,0.417,0.404,113.3,7.2,10.2,8.6,20.8,14.8,4.4,1.1,20.5,1.4,0.9,96.2,93.2,3.0,77.5,14.0,2013,SG
Chris Goulding,MEL,0.512,0.468,154.9,2.0,8.9,5.5,11.9,13.6,1.5,0.5,24.2,-2.8,1.1,100.6,107.2,-6.6,158.6,13.8,2013,SG
Adam Gibson,ADE,0.502,0.477,153.2,1.9,10.8,6.3,27.5,15.2,1.2,0.3,19.4,3.5,1.1,102.5,106.3,-3.8,215.5,13.2,2013,SG
Greg Hire,PER,0.449,0.414,144.0,11.6,20.6,15.8,12.8,15.3,1.8,0.9,13.8,0.6,1.0,107.2,91.4,15.7,194.2,13.0,2013,SG
Cameron Gliddon,CRN,0.483,0.456,148.7,2.8,12.4,7.5,15.4,15.6,2.5,1.6,13.1,1.7,1.0,102.8,102.7,0.1,210.0,12.1,2013,SG
Michael Cedar,TOW,0.443,0.419,141.5,2.5,11.6,7.1,15.1,11.0,1.0,1.1,21.4,0.2,0.9,89.7,106.9,-17.2,97.6,10.3,2013,SG
Dillon Boucher,NZB,0.505,0.481,108.1,7.9,12.9,10.4,19.4,33.3,2.8,1.7,9.8,1.6,1.1,100.2,96.1,4.1,144.6,10.2,2013,SG
Aaron Bruce,SYD,0.446,0.399,143.5,2.7,7.8,5.2,19.0,15.7,1.2,1.0,18.9,0.9,1.0,93.6,110.0,-16.4,137.2,9.7,2013,SG
Mitchell Norton,TOW,0.52,0.46,134.8,0.9,6.5,3.7,11.3,18.3,1.1,0.2,15.9,-1.8,1.3,94.2,109.3,-15.1,36.0,7.4,2013,SG
Kevin White,SYD,0.383,0.344,108.8,3.6,15.2,9.3,10.4,11.3,1.6,0.4,9.2,2.2,0.9,93.5,106.5,-13.0,69.8,6.4,2013,SG
Daniel Joyce,SYD,0.538,0.571,76.2,2.8,13.6,8.3,5.5,11.8,1.3,2.2,4.7,1.2,1.1,115.0,105.9,9.1,11.5,6.1,2013,SG
Tyson Demos,ILL,0.43,0.388,128.1,1.6,8.9,5.6,11.6,16.7,1.0,0.2,15.0,-0.4,1.0,88.3,113.5,-25.2,33.8,5.7,2013,SG
Nate Tomlinson,MEL,0.429,0.348,120.6,1.6,8.0,4.9,25.1,32.8,1.3,0.0,12.5,2.1,1.0,85.6,108.4,-22.8,58.7,5.6,2013,SG
Shaun Bruce,CRN,0.468,0.433,143.3,1.1,9.1,5.1,15.5,28.3,1.6,0.8,12.6,-1.3,1.3,86.0,103.3,-17.3,10.2,5.4,2013,SG
Scott Christopherson,ADE,0.396,0.351,142.1,0.5,15.4,7.7,4.7,22.9,0.3,0.0,14.7,-5.2,0.9,68.0,109.2,-41.3,8.4,1.8,2013,SG
Elvin Mims,TOW,0.516,0.495,146.4,8.5,19.1,13.6,4.8,10.1,2.8,2.4,19.6,-2.7,1.1,106.1,96.0,10.1,232.7,18.1,2012,SG
Karl Nilsson,GCB,0.387,0.333,83.3,0.0,0.0,0.0,0.0,0.0,10.8,0.0,32.1,0.0,1.0,95.2,75.0,20.2,0.5,17.6,2012,SG
Peter Crawford,TOW,0.579,0.559,167.1,1.9,10.8,6.3,10.1,17.7,2.0,1.1,23.9,-5.7,1.3,107.7,101.3,6.4,201.4,17.3,2012,SG
Aaron Bruce,SYD,0.552,0.462,163.4,3.9,6.3,5.1,26.9,19.3,1.2,0.6,23.9,-0.3,1.3,108.5,113.1,-4.5,118.4,15.9,2012,SG
Aaron Grabau,CRN,0.618,0.571,175.9,5.0,12.1,8.6,5.9,11.6,1.6,1.4,13.7,-1.2,1.4,123.6,103.6,20.0,159.7,15.6,2012,SG
James Mitchell,CRN,0.532,0.0,100.0,9.5,17.2,13.5,0.0,0.0,4.1,0.0,6.6,0.0,2.0,140.1,94.4,45.7,4.0,14.9,2012,SG
Ayinde Ubaka,ILL,0.53,0.458,155.6,2.4,11.9,7.4,14.9,18.9,1.5,0.0,25.1,-4.6,1.3,98.0,114.8,-16.8,72.7,14.8,2012,SG
Rhys Martin,ILL,0.569,0.52,151.9,2.2,8.6,5.6,24.8,23.0,1.5,0.5,20.0,-0.7,1.4,102.8,115.3,-12.5,179.4,14.6,2012,SG
James Harvey,GCB,0.523,0.521,169.2,2.6,3.8,3.2,8.3,10.1,1.7,0.0,21.2,-1.5,1.2,113.1,101.2,11.9,27.0,14.4,2012,SG
Daryl Corletto,NZB,0.566,0.538,169.4,1.1,5.7,3.4,7.8,6.5,1.1,0.0,15.8,1.0,1.2,124.9,108.4,16.5,159.6,13.4,2012,SG
Andrew Warren,CRN,0.517,0.494,148.8,1.7,9.6,5.7,7.8,12.5,1.1,0.5,21.2,-3.2,1.1,101.1,106.3,-5.1,150.1,12.9,2012,SG
Ben Madgen,SYD,0.485,0.448,141.8,2.5,9.7,6.1,11.3,12.2,1.2,0.2,23.0,-2.3,1.1,100.3,110.4,-10.1,141.9,12.7,2012,SG
Greg Hire,PER,0.607,0.563,155.0,10.4,12.4,11.4,8.2,18.0,0.8,0.0,14.1,-2.1,1.5,117.1,99.7,17.4,54.7,12.4,2012,SG
Ayinde Ubaka,MEL,0.551,0.491,165.1,1.2,7.2,4.2,15.6,18.0,0.6,0.3,18.4,-0.6,1.3,105.0,108.9,-3.9,108.3,12.3,2012,SG
Chris Goulding,GCB,0.535,0.5,152.4,5.1,8.3,6.7,6.8,13.1,0.9,0.2,18.9,-2.8,1.2,107.5,107.7,-0.2,90.1,12.3,2012,SG
Mat Campbell,ILL,0.569,0.537,165.2,2.1,5.4,3.8,11.7,11.5,0.8,0.3,15.5,0.7,1.2,113.0,118.4,-5.4,109.3,12.2,2012,SG
Daniel Dillon,MEL,0.492,0.438,141.6,2.8,10.4,6.6,19.8,24.5,1.6,1.1,18.6,-1.8,1.1,91.4,106.0,-14.6,134.4,10.6,2012,SG
Michael Cedar,TOW,0.464,0.454,133.0,2.7,10.6,6.5,13.5,16.3,1.0,0.7,20.7,-2.3,1.0,92.6,103.9,-11.2,97.0,10.0,2012,SG
Dillon Boucher,NZB,0.451,0.426,118.5,11.0,14.1,12.5,18.7,39.8,2.6,1.1,10.3,-0.3,1.1,91.9,101.9,-10.0,138.8,8.9,2012,SG
Nathan Herbert,ADE,0.445,0.415,151.6,4.2,12.7,8.4,6.6,11.0,2.2,0.3,14.8,-0.9,0.9,97.7,111.1,-13.4,60.1,8.5,2012,SG
Drew Williamson,PER,0.411,0.396,130.9,2.9,11.9,7.4,7.4,12.0,2.3,0.0,19.4,-2.0,0.8,88.6,97.3,-8.8,55.5,7.8,2012,SG
Tyson Demos,ILL,0.48,0.444,136.5,2.4,4.8,3.7,12.9,22.9,1.6,0.0,22.4,-6.6,1.1,84.2,116.6,-32.4,16.4,6.0,2012,SG
Mitchell Norton,TOW,0.384,0.385,71.8,3.1,11.6,6.8,6.4,17.3,1.8,3.3,24.6,-7.9,0.8,73.0,113.4,-40.3,1.4,5.8,2012,SG
Harry Morris,ILL,0.75,0.75,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,1.5,139.9,122.1,17.8,3.0,27.9,2023,SF
Jack McVeigh,JACK,0.589,0.56,166.0,7.0,14.1,10.3,10.3,8.9,1.3,1.0,23.5,-0.9,1.3,119.5,111.7,7.8,318.4,20.7,2023,SF
Antonius Cleveland,ADE,0.563,0.537,152.1,5.9,14.7,10.4,15.7,11.9,3.3,2.3,24.0,-0.2,1.3,113.7,110.1,3.6,317.4,20.1,2023,SF
Rayjon Tucker,MEL,0.594,0.554,160.6,5.6,17.9,11.9,14.5,14.9,1.2,0.5,27.0,-3.6,1.4,112.2,108.8,3.4,285.6,19.2,2023,SF
Jarrell Brantley,NZB,0.58,0.542,166.4,4.5,19.0,11.8,10.6,16.2,2.7,2.0,25.9,-5.6,1.3,106.4,102.5,3.9,364.1,18.7,2023,SF
D.J. Hogg,CRN,0.576,0.538,157.5,2.5,16.6,9.5,15.0,11.5,1.7,3.6,23.5,-0.6,1.3,111.7,101.5,10.3,408.2,18.2,2023,SF
Brady Manek,PER,0.609,0.59,166.7,5.7,15.9,10.6,9.4,7.2,1.3,1.7,18.4,1.0,1.3,123.2,114.8,8.4,315.6,17.8,2023,SF
Fabijan Krslovic,JACK,0.552,0.536,147.8,11.6,16.0,13.6,11.8,14.2,2.3,2.1,18.3,-1.1,1.2,113.3,107.9,5.5,145.9,16.9,2023,SF
Michael Frazier,ILL,0.55,0.526,153.9,3.4,11.6,7.2,13.4,10.0,1.1,0.0,25.6,-0.8,1.2,109.5,123.4,-13.9,66.4,16.9,2023,SF
Justin Simon,SYD,0.535,0.52,139.0,7.5,13.7,10.8,8.2,8.9,3.0,1.3,19.0,-0.3,1.2,110.8,100.7,10.1,300.2,16.1,2023,SF
