Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Emmett Naar,ILL,0.561,0.542,170.5,2.1,7.6,4.6,29.5,18.3,1.6,0.0,14.6,6.9,1.2,114.6,122.1,-7.4,140.4,12.3,2020,PG
Angus Glover,ILL,0.532,0.496,142.5,6.8,12.6,9.4,13.3,13.1,1.8,0.6,17.9,0.2,1.2,109.9,120.6,-10.7,95.6,11.9,2020,PG
Alex Mudronja,ADE,0.58,0.5,125.0,7.5,8.0,7.8,12.9,20.5,0.0,0.0,30.7,-9.5,1.5,102.6,121.8,-19.2,2.2,11.8,2020,PG
Casper Ware,SYD,0.496,0.445,141.5,1.6,6.7,4.2,18.9,10.5,1.0,0.2,28.9,1.1,1.1,102.1,111.4,-9.3,239.0,11.6,2020,PG
Mitchell Norton,PER,0.5,0.439,152.6,3.9,7.1,5.5,18.9,12.0,1.9,0.1,17.5,4.2,1.1,112.0,118.7,-6.6,158.6,11.2,2020,PG
Shea Ili,MEL,0.529,0.487,153.1,6.2,6.9,6.5,17.5,17.5,2.4,0.5,17.3,1.1,1.2,110.5,112.4,-2.0,124.0,11.0,2020,PG
Adam Gibson,SEM,0.603,0.593,169.3,2.5,9.8,6.1,13.1,17.0,1.6,0.2,14.1,1.0,1.2,115.2,121.4,-6.2,100.4,9.7,2020,PG
Jarrad Weeks,NZB,0.521,0.496,151.6,1.7,10.7,6.2,11.6,14.0,1.0,0.0,17.6,-0.1,1.1,103.7,117.2,-13.6,73.9,8.1,2020,PG
Jarrod Kenny,CRN,0.572,0.55,158.2,3.8,8.0,6.1,9.8,21.2,1.3,0.2,11.3,-0.6,1.2,107.1,118.7,-11.5,65.5,6.6,2020,PG
William Hickey,SEM,0.338,0.25,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.0,0.8,82.0,144.5,-62.5,-0.4,3.6,2020,PG
Bryce Cotton,PER,0.547,0.485,161.5,2.3,10.2,6.3,18.8,9.0,2.0,0.3,27.5,1.7,1.3,115.6,110.2,5.4,401.1,19.6,2019,PG
Melo Trimble,CRN,0.59,0.533,169.9,2.1,12.3,6.9,25.0,14.7,1.7,0.5,28.5,-0.6,1.4,113.0,114.8,-1.8,352.9,19.0,2019,PG
Jeremy Kendle,BRI,0.526,0.478,156.4,3.3,10.1,6.7,19.8,9.7,2.3,0.5,28.4,1.4,1.2,109.3,113.2,-3.9,54.3,17.6,2019,PG
Nathan Sobey,ADE,0.575,0.516,166.4,2.5,14.6,8.7,24.8,17.5,1.7,0.7,22.0,1.5,1.3,112.5,110.0,2.5,322.6,15.5,2019,PG
Casper Ware,MEL,0.533,0.489,160.4,2.1,8.1,5.0,20.5,12.9,1.2,0.4,26.1,0.7,1.2,109.2,114.4,-5.2,326.8,14.9,2019,PG
Dzherom Rendl,SYD,0.539,0.494,172.9,1.5,7.8,4.8,20.6,14.2,1.1,0.0,27.1,-0.3,1.2,104.2,116.8,-12.6,252.3,14.8,2019,PG
Jarrad Weeks,NZB,0.596,0.56,167.2,1.7,7.7,4.6,16.8,13.5,1.1,1.2,20.7,1.2,1.3,116.8,118.8,-2.0,156.8,14.2,2019,PG
Mitchell Norton,PER,0.555,0.464,156.1,2.3,8.9,5.6,19.9,14.4,1.9,0.2,19.4,2.5,1.4,114.0,112.5,1.6,144.8,14.0,2019,PG
Adam Gibson,BRI,0.564,0.523,164.4,2.4,10.8,6.6,19.8,15.0,1.7,0.2,14.7,4.4,1.2,117.1,115.3,1.8,161.2,12.1,2019,PG
Adam Doyle,ADE,0.515,0.458,161.8,2.4,4.7,3.6,20.7,8.2,2.1,0.0,16.2,5.8,1.2,119.0,110.7,8.3,49.5,11.9,2019,PG
Adris DeLeon,ADE,0.467,0.417,144.4,5.6,9.4,7.5,21.5,10.9,2.2,0.5,19.8,4.4,1.0,105.9,111.2,-5.3,48.5,11.8,2019,PG
Jason Cadee,BRI,0.524,0.502,149.0,0.6,8.6,4.6,21.2,15.0,2.1,0.1,15.2,4.8,1.1,110.0,115.3,-5.4,205.1,10.8,2019,PG
Kyle Adnam,SYD,0.529,0.474,167.2,2.3,5.9,4.1,13.4,12.8,0.9,0.6,21.8,-0.3,1.2,104.3,117.7,-13.3,81.9,10.8,2019,PG
Shea Ili,NZB,0.515,0.47,142.9,5.2,6.8,6.0,16.5,18.2,1.8,1.3,17.3,0.7,1.2,105.0,117.1,-12.1,143.7,10.8,2019,PG
Emmett Naar,ILL,0.494,0.469,156.1,2.6,7.1,4.9,26.0,17.3,1.5,0.2,13.5,6.2,1.1,106.4,115.3,-8.9,120.9,10.0,2019,PG
Cedric Jackson,ILL,0.455,0.431,112.1,4.4,10.5,7.4,25.3,19.3,2.3,0.4,20.2,1.8,1.0,92.5,112.2,-19.7,150.6,9.5,2019,PG
Jarrod Kenny,CRN,0.552,0.534,158.4,3.7,11.4,7.4,14.1,17.2,1.1,0.4,13.0,1.0,1.2,108.5,116.2,-7.7,107.7,9.0,2019,PG
